同	衕
同	仝
峒	峝
偷	媮
兔	兎
腿	骽
颓	穨
臀	臋
驮	䭾
驮	駄
蛙	鼃
袜	韈
袜	韤
挽	輓
浣	澣
玩	翫
碗	椀
碗	盌
碗	㼝
亡	亾
望	朢
往	徃
罔	㒺
喂	餧
喂	餵
猬	蝟
吻	脗
蚊	螡
蚊	蟁
瓮	甕
瓮	罋
污	汚
污	汙
坞	隖
忤	啎
嘻	譆
溪	谿
晰	晳
席	蓆
熙	熈
熙	煕
膝	厀
戏	戯
厦	廈
狭	陿
衔	啣
衔	衘
弦	絃
仙	僊
鲜	鱻
鲜	尠
鲜	尟
闲	閒
娴	嫺
涎	㳄
线	線
线	缐
籼	秈
享	亯
饷	饟
向	曏
厢	廂
笑	咲
效	傚
效	効
胁	脇
邪	衺
蟹	蠏
燮	爕
蝎	蠍
泄	洩
绁	絏
鞋	鞵
携	攜
携	擕
携	㩗
携	㩦
欣	䜣
欣	訢
幸	倖
汹	洶
凶	兇
胸	胷
修	脩
绣	繍
锈	鏽
叙	敘
叙	敍
勖	勗
恤	䘏
恤	卹
恤	賉
婿	壻
喧	諠
楦	楥
萱	萲
萱	蕿
萱	藼
萱	蘐
璇	璿
靴	鞾
熏	燻
徇	狥
勋	勳
勋	勲
埙	壎
巡	廵
鸦	鵶
丫	枒
丫	椏
丫	桠
咽	嚥
焰	燄
胭	臙
宴	醼
宴	讌
验	驗
艳	豓
艳	豔
验	騐
烟	煙
烟	菸
岩	巖
岩	喦
岩	巗
燕	鷰
鼹	鼴
赝	贋
赝	贗
腌	醃
雁	鴈
檐	簷
扬	敭
扬	颺
夭	殀
淆	殽
耀	燿
窑	窰
窑	窯
肴	餚
咬	齩
拗	抝
野	埜
野	壄
夜	亱
烨	嘩
烨	爗
晔	燁
翳	瞖
以	㕥
以	㠯
异	異
咿	吚
移	迻
因	囙
殷	慇
淫	滛
淫	婬
喑	瘖
堙	陻
阴	隂
吟	唫
荫	廕
饮	㱃
姻	婣
罂	甖
颖	頴
莺	鷪
映	暎
咏	詠
涌	湧
恿	惥
恿	慂
雍	雝
游	遊
欲	慾
逾	踰
愈	瘉
愈	癒
寓	庽
郁	鬰
郁	欝
冤	寃
猿	猨
猿	蝯
岳	嶽
韵	韻
匝	帀
杂	襍
灾	災
灾	烖
灾	菑
咱	偺
咱	喒
簪	簮
赞	讚
赞	賛
暂	蹔
葬	塟
唣	唕
皂	皁
噪	譟
糟	蹧
咤	吒
札	剳
札	劄
榨	搾
闸	牐
扎	紥
扎	紮
寨	砦
斋	亝
毡	氊
盏	琖
盏	醆
沾	霑
占	佔
崭	嶃
獐	麞
棹	櫂
照	炤
哲	喆
浙	淛
谪	讁
辄	輙
鸩	酖
珍	珎
砧	碪
针	鍼
侦	遉
侄	妷
侄	姪
纸	帋
卮	巵
栀	梔
只	祇
只	秖
帙	袟
帙	袠
稚	稺
稚	穉
跖	蹠
置	寘
志	誌
址	阯
冢	塚
众	眾
咒	呪
帚	箒
周	週
箸	筯
伫	佇
伫	竚
煮	煑
注	註
猪	豬
砖	塼
砖	甎
专	耑
馔	籑
撰	譔
妆	粧
斫	斮
斫	斲
斫	斵
桌	槕
姊	姉
眦	眥
资	貲
偬	傯
棕	椶
粽	糉
鬃	騌
鬃	騣
鬃	鬉
踪	蹤
卒	䘚
纂	篹
钻	鑚
樽	罇
罪	辠
最	冣
最	㝡
黑	黒
箬	篛
出	岀
两	倆
橘	桔
径	迳
移	貤
藏	廛
歺	餐
